CellType,BarID,DeviceID,CellID,X,Y
Bar1D,G1_1D,63,Bar1D_G1_1D_63,-19068,46230.5
Bar1D,G1_1D,64,Bar1D_G1_1D_64,-19068,45980.5
Bar1D,G1_1D,65,Bar1D_G1_1D_65,-19068,45730.5
Bar1D,G1_1D,66,Bar1D_G1_1D_66,-19068,45480.5
Bar1D,G1_1D,67,Bar1D_G1_1D_67,-19068,45230.5
Bar1E,G1_1E,1,Bar1E_G1_1E_01,-18068,61730.5
Bar1E,G1_1E,2,Bar1E_G1_1E_02,-18068,61480.5
Bar1E,G1_1E,3,Bar1E_G1_1E_03,-18068,61230.5
Bar1E,G1_1E,4,Bar1E_G1_1E_04,-18068,60980.5
Bar1E,G1_1E,5,Bar1E_G1_1E_05,-18068,60730.5
Bar1E,G1_1E,6,Bar1E_G1_1E_06,-18068,60480.5
Bar1E,G1_1E,7,Bar1E_G1_1E_07,-18068,60230.5
Bar1E,G1_1E,8,Bar1E_G1_1E_08,-18068,59980.5
Bar1E,G1_1E,9,Bar1E_G1_1E_09,-18068,59730.5
Bar1E,G1_1E,10,Bar1E_G1_1E_10,-18068,59480.5
Bar1E,G1_1E,11,Bar1E_G1_1E_11,-18068,59230.5
Bar1E,G1_1E,12,Bar1E_G1_1E_12,-18068,58980.5
Bar1E,G1_1E,13,Bar1E_G1_1E_13,-18068,58730.5
Bar1E,G1_1E,14,Bar1E_G1_1E_14,-18068,58480.5
Bar1E,G1_1E,15,Bar1E_G1_1E_15,-18068,58230.5
Bar1E,G1_1E,16,Bar1E_G1_1E_16,-18068,57980.5
Bar1E,G1_1E,17,Bar1E_G1_1E_17,-18068,57730.5
Bar1E,G1_1E,18,Bar1E_G1_1E_18,-18068,57480.5
Bar1E,G1_1E,19,Bar1E_G1_1E_19,-18068,57230.5
Bar1E,G1_1E,20,Bar1E_G1_1E_20,-18068,56980.5
Bar1E,G1_1E,21,Bar1E_G1_1E_21,-18068,56730.5
Bar1E,G1_1E,22,Bar1E_G1_1E_22,-18068,56480.5
Bar1E,G1_1E,23,Bar1E_G1_1E_23,-18068,56230.5
Bar1E,G1_1E,24,Bar1E_G1_1E_24,-18068,55980.5
Bar1E,G1_1E,25,Bar1E_G1_1E_25,-18068,55730.5
Bar1E,G1_1E,26,Bar1E_G1_1E_26,-18068,55480.5
Bar1E,G1_1E,27,Bar1E_G1_1E_27,-18068,55230.5
Bar1E,G1_1E,28,Bar1E_G1_1E_28,-18068,54980.5
Bar1E,G1_1E,29,Bar1E_G1_1E_29,-18068,54730.5
Bar1E,G1_1E,30,Bar1E_G1_1E_30,-18068,54480.5
Bar1E,G1_1E,31,Bar1E_G1_1E_31,-18068,54230.5
Bar1E,G1_1E,32,Bar1E_G1_1E_32,-18068,53980.5
Bar1E,G1_1E,33,Bar1E_G1_1E_33,-18068,53730.5
Bar1E,G1_1E,34,Bar1E_G1_1E_34,-18068,53480.5
Bar1E,G1_1E,35,Bar1E_G1_1E_35,-18068,53230.5
Bar1E,G1_1E,36,Bar1E_G1_1E_36,-18068,52980.5
Bar1E,G1_1E,37,Bar1E_G1_1E_37,-18068,52730.5
Bar1E,G1_1E,38,Bar1E_G1_1E_38,-18068,52480.5
Bar1E,G1_1E,39,Bar1E_G1_1E_39,-18068,52230.5
Bar1E,G1_1E,40,Bar1E_G1_1E_40,-18068,51980.5
